t,feature,threshold,polarity,epsilon,alpha,train_acc_after_t,test_acc_after_t
1,12,0.5,-1,0.275000,0.484700,0.725000,0.614973
2,10,0.5,-1,0.385580,0.232965,0.725000,0.614973
3,14,0.5,1,0.395216,0.212719,0.725000,0.614973
4,6,0.5,-1,0.397046,0.208894,0.725000,0.588235
5,17,0.5,1,0.444910,0.110629,0.725000,0.588235
6,7,0.5,-1,0.420036,0.161313,0.775000,0.609626
7,2,0.5,1,0.418196,0.165091,0.750000,0.588235
8,21,0.5,-1,0.407599,0.186950,0.775000,0.625668
9,7,0.5,-1,0.453143,0.093989,0.762500,0.614973
10,2,0.5,1,0.430131,0.140658,0.762500,0.598930
