index,feature,threshold,polarity,alpha
0,0,0.500000,1,-0.205697
1,0,0.500000,-1,0.078881
2,1,0.500000,1,-0.005874
3,1,0.500000,-1,-0.083699
4,2,0.500000,1,1.243974
5,2,0.500000,-1,-0.858673
6,3,0.500000,1,-0.402839
7,3,0.500000,-1,0.258461
8,4,0.500000,1,0.028028
9,4,0.500000,-1,-0.083680
10,5,0.500000,1,-0.161265
11,5,0.500000,-1,-0.229512
12,6,0.500000,1,-0.230238
13,6,0.500000,-1,0.223351
14,7,0.500000,1,-0.794069
15,7,0.500000,-1,0.891242
16,8,0.500000,1,0.368215
17,8,0.500000,-1,-0.456629
18,9,0.500000,1,0.076842
19,9,0.500000,-1,-0.053807
20,10,0.500000,1,-0.042300
21,10,0.500000,-1,0.126906
22,11,0.500000,1,0.152796
23,11,0.500000,-1,-0.129687
24,12,0.500000,1,-0.668998
25,12,0.500000,-1,0.180880
26,13,0.500000,1,-0.324636
27,13,0.500000,-1,0.129856
28,14,0.500000,1,0.272825
29,14,0.500000,-1,-0.497905
30,15,0.500000,1,-0.468422
31,15,0.500000,-1,0.186591
32,16,0.500000,1,-0.126775
33,16,0.500000,-1,0.301136
34,17,0.500000,1,0.557837
35,17,0.500000,-1,-0.464729
36,18,0.500000,1,-0.070173
37,18,0.500000,-1,0.108862
38,19,0.500000,1,-0.026324
39,19,0.500000,-1,0.127013
40,20,0.500000,1,-0.012864
41,20,0.500000,-1,0.160773
42,21,0.500000,1,-0.238188
43,21,0.500000,-1,0.180938
